2	危害国家安全罪	,1,2,	1	2	1	刑事案由
3	背叛国家罪	,1,2,3,	2	2	1	刑事案由
4	分裂国家罪	,1,2,4,	2	2	1	刑事案由
5	煽动分裂国家罪	,1,2,5,	2	2	1	刑事案由
6	武装叛乱、暴乱罪	,1,2,6,	2	2	1	刑事案由
7	颠覆国家政权罪	,1,2,7,	2	2	1	刑事案由
8	煽动颠覆国家政权罪	,1,2,8,	2	2	1	刑事案由
9	资助危害国家安全犯罪活动罪	,1,2,9,	2	2	1	刑事案由
10	投敌叛变罪	,1,2,10,	2	2	1	刑事案由
11	叛逃罪	,1,2,11,	2	2	1	刑事案由
12	间谍罪	,1,2,12,	2	2	1	刑事案由
13	为境外窃取、刺探、收买、非法提供国家秘密、情报罪	,1,2,13,	2	2	1	刑事案由
14	资敌罪	,1,2,14,	2	2	1	刑事案由
15	危害公共安全罪	,1,15,	1	15	1	刑事案由
16	放火罪	,1,15,16,	15	15	1	刑事案由
17	决水罪	,1,15,17,	15	15	1	刑事案由
18	爆炸罪	,1,15,18,	15	15	1	刑事案由
19	投毒罪	,1,15,19,	15	15	1	刑事案由
20	以危险方法危害公共安全罪	,1,15,20,	15	15	1	刑事案由
21	失火罪	,1,15,21,	15	15	1	刑事案由
22	过失决水罪	,1,15,22,	15	15	1	刑事案由
23	过失爆炸罪	,1,15,23,	15	15	1	刑事案由
24	过失投毒罪	,1,15,24,	15	15	1	刑事案由
25	过失以危险方法危害公共安全罪	,1,15,25,	15	15	1	刑事案由
26	破坏交通工具罪	,1,15,26,	15	15	1	刑事案由
27	破坏交通设施罪	,1,15,27,	15	15	1	刑事案由
28	破坏电力设备罪	,1,15,28,	15	15	1	刑事案由
29	破坏易燃易爆设备罪	,1,15,29,	15	15	1	刑事案由
30	过失损坏交通工具罪	,1,15,30,	15	15	1	刑事案由
31	过失损坏交通设施罪	,1,15,31,	15	15	1	刑事案由
32	过失损坏电力设备罪	,1,15,32,	15	15	1	刑事案由
33	过失损坏易燃易爆设备罪	,1,15,33,	15	15	1	刑事案由
34	组织、领导、参加恐怖组织罪	,1,15,34,	15	15	1	刑事案由
35	劫持航空器罪	,1,15,35,	15	15	1	刑事案由
36	劫持船只、汽车罪	,1,15,36,	15	15	1	刑事案由
37	暴力危及飞行安全罪	,1,15,37,	15	15	1	刑事案由
38	破坏广播电视设施、公用电信设施罪	,1,15,38,	15	15	1	刑事案由
39	过失损坏广播电视设施、公用电信设施罪	,1,15,39,	15	15	1	刑事案由
40	非法制造、买卖、运输、邮寄、储存枪支、弹药、爆炸物罪	,1,15,40,	15	15	1	刑事案由
41	非法买卖、运输核材料罪	,1,15,41,	15	15	1	刑事案由
42	违规制造、销售枪支罪	,1,15,42,	15	15	1	刑事案由
43	盗窃、抢夺枪支、弹药、爆炸物罪	,1,15,43,	15	15	1	刑事案由
44	抢劫枪支、弹药、爆炸物罪	,1,15,44,	15	15	1	刑事案由
45	非法持有、私藏枪支、弹药罪	,1,15,45,	15	15	1	刑事案由
46	非法出租、出借枪支罪	,1,15,46,	15	15	1	刑事案由
47	丢失枪支不报罪	,1,15,47,	15	15	1	刑事案由
48	非法携带枪支、弹药、管制刀具、危险物品危及公共安全罪	,1,15,48,	15	15	1	刑事案由
49	重大飞行事故罪	,1,15,49,	15	15	1	刑事案由
50	铁路运营安全事故罪	,1,15,50,	15	15	1	刑事案由
51	交通肇事罪	,1,15,51,	15	15	1	刑事案由
52	重大责任事故罪	,1,15,52,	15	15	1	刑事案由
53	重大劳动安全事故罪	,1,15,53,	15	15	1	刑事案由
54	危险物品肇事罪	,1,15,54,	15	15	1	刑事案由
55	工程重大安全事故罪	,1,15,55,	15	15	1	刑事案由
56	教育设施重大安全事故罪	,1,15,56,	15	15	1	刑事案由
57	消防责任事故罪	,1,15,57,	15	15	1	刑事案由
58	破坏社会主义市场经济秩序罪	,1,58,	1	58	1	刑事案由
59	生产、销售伪劣商品罪	,1,58,59,	58	58	1	刑事案由
60	生产、销售伪劣产品罪	,1,58,59,60,	59	58	1	刑事案由
61	生产、销售假药罪	,1,58,59,61,	59	58	1	刑事案由
62	生产、销售劣药罪	,1,58,59,62,	59	58	1	刑事案由
63	生产、销售不符合卫生标准的食品罪	,1,58,59,63,	59	58	1	刑事案由
64	生产、销售有毒、有害食品罪	,1,58,59,64,	59	58	1	刑事案由
65	生产、销售不符合标准的医用器材罪	,1,58,59,65,	59	58	1	刑事案由
66	生产、销售不符合安全标准的产品罪	,1,58,59,66,	59	58	1	刑事案由
67	生产、销售伪劣农药、兽药、化肥、种子罪	,1,58,59,67,	59	58	1	刑事案由
68	生产、销售不符合卫生标准的化妆品罪	,1,58,59,68,	59	58	1	刑事案由
69	走私罪	,1,58,69,	58	58	1	刑事案由
70	走私武器、弹药罪	,1,58,69,70,	69	58	1	刑事案由
71	走私核材料罪	,1,58,69,71,	69	58	1	刑事案由
72	走私假币罪	,1,58,69,72,	69	58	1	刑事案由
73	走私文物罪	,1,58,69,73,	69	58	1	刑事案由
74	走私贵重金属罪	,1,58,69,74,	69	58	1	刑事案由
75	走私珍贵动物、珍贵动物制品罪	,1,58,69,75,	69	58	1	刑事案由
76	走私国家禁止进出口的货物、物品罪	,1,58,69,76,	69	58	1	刑事案由
77	走私淫秽物品罪	,1,58,69,77,	69	58	1	刑事案由
78	走私普通货物、物品罪	,1,58,69,78,	69	58	1	刑事案由
79	走私废物罪	,1,58,69,79,	69	58	1	刑事案由
80	妨害对公司、企业的管理秩序罪	,1,58,80,	58	58	1	刑事案由
81	虚报注册资本罪	,1,58,80,81,	80	58	1	刑事案由
82	虚假出资、抽逃出资罪	,1,58,80,82,	80	58	1	刑事案由
83	欺诈发行股票、债券罪	,1,58,80,83,	80	58	1	刑事案由
84	提供虚假财会报告罪	,1,58,80,84,	80	58	1	刑事案由
85	妨害清算罪	,1,58,80,85,	80	58	1	刑事案由
86	公司、企业人员受贿罪	,1,58,80,86,	80	58	1	刑事案由
87	对公司、企业人员行贿罪	,1,58,80,87,	80	58	1	刑事案由
88	非法经营同类营业罪	,1,58,80,88,	80	58	1	刑事案由
